Bucket,Color/Number,Old/New,Species,Date_initial_measure,Length_pre,Width_pre,Height_pre,Weight,Mortality_Date,Date_FinalMeasurement,Length_post,Width_post,Height_post,Weight_post ,live_barnacles,dead_barnacles,polydora_scars,RFTM_Date,RFTM_score,Parasites,
HM1,14,,CV,,,,,,,10/15/2018,50.64,34.42,13.13,16.63,0,0,0,23-Oct,0,,
HM1,O73,NEW,CV,6/19/2018,40.46,27.61,13.19,5.87,,10/15/2018,53.69,30.95,13.96,16.6,0,0,0,23-Oct,0,,
HP3,B51,NEW,CV,6/20/2018,26.96,21.41,12.63,2.66,,,56.8,29.9,13.56,16.57,0,0,0,27-Oct,0,,
HP3,W9,NA,IR,6/21/2018,40.49,27.29,15.87,8.21,,,49.67,24.59,20.99,16.5,0,0,0,27-Oct,0,,
HP3,W43,NA,IR,6/21/2018,51.43,28.28,20.83,16.17,,,50.85,26.94,20.61,16.5,0,0,0,,,,
LP3,O46,NEW,CV,6/19/2018,47.77,29.98,18.01,9.58,,,47.47,28.7,15.37,16.48,1,0,0,,,,
HM8,O66,NEW,CV,6/19/2018,34.97,27.27,10.59,4.6,,,51.45,30.7,11.97,16.45,0,0,0,1-Nov,0,,
LM3,Y9,NEW,CV,6/19/2018,24.17,21.56,10.93,2.11,,10/18/2018,53.14,35.9,11.87,16.27,0,0,0,27-Oct,0,,
LM1,O51,NEW,CV,6/19/2018,46.92,30.49,14.71,8.81,,10/15/2018,46.07,33.07,12.91,16.26,1,0,0,20-Oct,0,,
HM2,G44,NEW,CV,6/20/2018,32.66,27.61,11.33,4.88,,10/16/2018,47.63,31.46,13.07,16.25,0,0,0,27-Oct,0,2 worms,
HM4,W6,,CV,,,,,,,,50.03,32.87,13.9,16.22,0,0,0,,,,
LP2,Y65,OLD,CV,6/13/2018,43.53,27.77,8.97,7.01,,,46.79,33.54,13.41,16.19,1,0,0,25-Oct,0,,
LM1,O33,NEW,CV,6/19/2018,35.38,24.67,11.5,3.22,,10/15/2018,57.85,36,11.85,16.17,0,1,0,22-Oct,0,,
HM9,G17,NEW,CV,6/20/2018,44.04,35.77,13.48,8.12,,,54.1,33.46,10.96,16.06,0,0,0,31-Oct,0,,
HP3,B59,OLD,CV,6/15/2018,49.28,29.56,13.56,8.67,,,49.72,30.14,14.88,15.92,0,0,0,27-Oct,0,,
HP6,G17,OLD,CV,6/13/2018,48.66,31.68,10.47,9.16,,,42.94,37.43,15.49,15.87,0,0,0,,,,
LM4,52G,,CV,,,,,,,10/17/2018,48.88,32.93,10.96,15.8,1,0,1,29-Oct,0,,
HM1,G54,NEW,CV,6/20/2018,37.17,22.92,11.37,4.45,,10/15/2018,54.71,31.89,11.13,15.79,,,,,,,
HP3,B6,NEW,CV,6/20/2018,31.03,22.28,10.84,2.81,,,45.78,33.25,12.26,15.66,1,0,0,27-Oct,0,,
HM1,W33,OLD,CV,6/19/2018,47.13,30.3,13.86,10.52,,10/15/2018,47.49,30.61,13.32,15.56,0,0,0,23-Oct,0,,
LP2,Y91,OLD,CV,6/13/2018,38.66,27.02,6.63,6.16,,,42.42,33.95,14.32,15.53,,,,25-Oct,0,,
HM4,W2,OLD,CV,6/19/2018,58.89,33.26,13.91,11.77,,,48.08,31.34,14.43,15.47,0,0,0,,,,
LP2,W18,NA,IR,6/21/2018,47.91,28.78,19.02,13.86,,,47.64,26.59,18.68,15.37,,,,27-Oct,0,,
HM1,O84,NEW,CV,6/19/2018,46.77,25.71,11.62,6.89,,10/15/2018,47.42,39.1,12.27,15.34,0,0,0,23-Oct,0,,
LP8,Y52,OLD,CV,6/13/2018,40.88,30.17,8.91,7.59,,,39.34,28.8,8.84,15.34,0,0,0,29-Oct,0,,
LP2,O32,OLD,CV,6/12/2018,30.66,29.6,7.57,4.18,,,52.36,32.86,12.13,15.28,,,,25-Oct,0,,
HP1,W81,OLD,CV,6/19/2018,40.82,33.09,15.32,7.56,,,46.06,35.37,13.29,15.24,0,0,0,22-Oct,0,,
HP5,G32,OLD,CV,6/13/2018,38.78,24.97,6.35,5.56,,,45.41,35.18,12.89,15.21,0,0,0,29-Oct,0,,
HP6,G63,OLD,CV,6/13/2018,35.37,22.73,8.1,3.75,,,51.15,38.63,13.53,15.2,0,0,0,30-Oct,0,,
HM4,O41,NEW,CV,6/19/2018,43.59,24.92,11.4,4.84,,,34.28,30.78,16.22,15.19,0,0,0,25-Oct,0,,
LP1,O24,OLD,CV,6/12/2018,36.18,31.22,7.92,5.98,,15-Oct,48.28,30.74,12.96,15.13,,,,23-Oct,0,,
HM3,G67,NEW,CV,6/20/2018,47.13,28.46,11.02,6.38,,10/16/2018,48.45,33.75,10.67,15.11,0,0,0,25-Oct,0,,
HM5,O49,,CV,,,,,,,,53.11,29.87,12.82,15.09,0,0,2,,,,
HM6,G50,NEW,CV,6/20/2018,46.26,26.25,11.36,6.44,,,52.06,29.19,12.44,15.08,1,0,1,1-Nov,0,,
HP4,G21,OLD,CV,6/13/2018,36.89,32.15,10.46,5.82,,,50.39,31.12,13.77,15.03,0,0,0,27-Oct,0,,
LM2,15,,CV,,,,,,,10/16/2018,48.38,32.02,11.48,15.03,0,0,0,,,,
HP2,W10,OLD,CV,6/19/2018,42.64,31,15.53,7.33,,,47.23,36.61,12.07,15,0,0,0,25-Oct,0,,
LM6,Y57,NEW,CV,6/19/2018,29.03,20.08,12.38,2.32,,10/18/2018,43.43,30.8,13.03,15,0,0,0,29-Oct,0,,
HP4,G87,OLD,CV,6/13/2018,39.73,27.26,6.24,5.5,,,51.33,31.26,13.95,14.99,0,0,0,27-Oct,0,,
LM1,Y64,NEW,CV,6/19/2018,32.33,23.83,13.66,3.9,,10/15/2018,52.02,32.19,13.03,14.96,0,0,0,22-Oct,0,,
HP4,G46,OLD,CV,6/13/2018,34.47,19.19,6.88,3.42,,,49.9,36.74,11.59,14.92,1,0,1,27-Oct,0,,
LP9,B23,NEW,CV,6/20/2018,49.48,26.82,11.38,7.86,,,50.63,33.5,13.89,14.91,0,0,0,31-Oct,0,,
LM5,Y20,NEW,CV,6/19/2018,28.76,20.17,10.14,2.89,,10/17/2018,42.37,35.45,13.62,14.89,0,0,0,29-Oct,0.5,,
LM9,G28,OLD,CV,6/13/2018,46.15,28.2,9.99,7.34,,,52.66,33.48,14.49,14.83,0,0,0,,,,
LM9,G28,NEW,CV,6/20/2018,25.98,22.6,10.86,3.35,,,52.66,33.48,14.49,14.83,0,0,0,1-Nov,0,,
HP3,B65,OLD,CV,6/15/2018,38.66,36.16,12.73,8.28,,,42.8,36.34,14.49,14.68,0,0,0,27-Oct,0,,
HP6,W89,NA,IR,6/21/2018,35.43,21.95,13,5.01,,,47.99,23.28,21.55,14.67,0,0,0,,,,
HM2,W40,OLD,CV,6/19/2018,42.99,35.14,12.59,8.24,,10/16/2018,45.03,35.99,13.95,14.61,0,1,0,27-Oct,0,,
HM1,W18,,CV,,,,,,,10/15/2018,48.93,34.67,12.14,14.59,0,0,0,,,,
HM2,37W,NEW,CV,,,,,,,10/16/2018,52.84,27.3,10.26,14.36,0,0,0,,,,
LP5,W48,NA,IR,6/21/2018,50.87,25.72,25.64,11.49,,,50.47,23.8,18.84,14.33,0,0,2,27-Oct,0,,
LM9,Y55,NEW,CV,6/19/2018,35.73,23.08,12.39,4,,,45.58,33.62,13.89,14.23,0,0,0,1-Nov,0,,
HM8,G91,NEW,CV,6/20/2018,28.1,17.65,10.42,2.25,,,48.46,29.38,13.13,14.16,0,0,0,1-Nov,0,,
HM3,O2,NEW,CV,6/19/2018,27.64,20.57,9.74,1.12,,10/16/2018,52.78,29.3,11.24,14.15,0,0,0,25-Oct,0,,
LP7,Y71,OLD,CV,6/13/2018,35.93,24.71,8.47,5.27,,,46.86,33.46,17.74,14.15,0,0,0,30-Oct,0,,
LM4,1Y,,CV,,,,,,,10/17/2018,45.49,28.86,12.62,14.11,0,0,0,29-Oct,0,,
HM8,O22,NEW,CV,6/19/2018,21.84,23.81,8.82,3.37,,,46.68,33.69,12.88,14.1,0,0,0,1-Nov,,,
HM2,14,,CV,,,,,,,10/16/2018,46.71,32.49,12.65,14.09,0,0,0,27-Oct,0,,
LP2,W20,NA,IR,6/21/2018,47.8,29.37,17.78,12.08,,,49.36,27.86,18.72,14.08,,,,27-Oct,0,,
HM4,7W,,CV,,,,,,,,52.47,28.9,12.54,14.01,0,0,0,,,,
LP9,B9,NEW,CV,6/20/2018,26.2,19.28,10.43,1.57,,,48.25,32.53,10.71,14,0,0,0,,,,
HP6,G16,OLD,CV,6/13/2018,36.06,26.45,7.97,3.72,,,43.51,32.42,13.46,13.99,0,0,1,30-Oct,0,,
LM8,W27,OLD,CV,6/19/2018,50.53,26.17,12.59,8.28,,10/17/2018,51.17,30.24,12.43.,13.99,0,0,0,27-Oct,0,,
LM6,G97,NEW,CV,6/20/2018,31.99,22.51,9.79,2.89,,10/18/2018,50.91,30.53,11.41,13.97,0,0,0,29-Oct,0,,
LP3,O84,OLD,CV,6/12/2018,39.66,33.37,9.29,6.28,,,49.41,31.48,12.93,13.97,0,0,0,25-Oct,0,,
LP3,O20,OLD,CV,6/12/2018,45.28,32.5,10.49,8.24,,,50.55,31.06,11.63,13.96,0,0,1,25-Oct,0,,
HM5,O30,NEW,CV,6/19/2018,37.73,26.73,11.63,4.89,,,44.49,32.75,13.05,13.91,0,0,0,30-Oct,0,,
HM2,G60,NEW,CV,6/20/2018,28.52,22.36,13.24,3.22,,10/16/2018,48.61,27.38,11.51,13.89,0,0,0,,,,
HP9,O44,OLD,CV,6/12/2018,37.94,25.9,6.14,3.74,,10/19/2018,48.79,33.7,12.12,13.89,0,0,0,,,,
HP7,G13,OLD,CV,6/13/2018,31.09,19.43,7.5,2.9,10/18/2018,10/18/2018,49.1,32.02,11.41,13.88,0,0,0,30-Oct,0,nps,
HP1,W5,OLD,CV,6/19/2018,48,24.68,11.78,6.54,,,49.48,30.2,12.1,13.82,0,0,0,22-Oct,0,,
LP8,W61,NA,IR,6/21/2018,51.11,26.64,18.55,11.3,,,51.06,23.87,18.25,13.82,0,0,1,,,,
HP5,G14,OLD,CV,6/13/2018,32.05,25.08,7.9,3.74,,,45.36,33.33,13.1,13.81,0,0,0,29-Oct,1,,
HP9,W10,NA,IR,6/21/2018,45.5,30.65,18,11.69,,10/19/2018,44.17,25.94,18.14,13.78,0,0,0,30-Oct,0,,
LP3,G30,OLD,CV,6/13/2018,37.46,25.83,8.43,4.93,,,53.92,30.71,13.15,13.77,0,0,0,25-Oct,0,,
LP3,Y1,OLD,CV,6/12/2018,48.3,24.76,10.45,7.2,,,47.04,27.51,13.47,13.74,0,0,0,,,,
HM9,O47,NEW,CV,6/19/2018,46.86,37.61,13.36,7.38,,,56.74,32.68,11.73,13.73,0,0,0,,0,,
LM2,14,,CV,,,,,,,10/16/2018,47.66,28.9,11.97,13.7,0,0,0,,,,
HM3,G93,NEW,CV,6/20/2018,44,21.75,11.03,4.75,,10/16/2018,54.27,31.82,13.64,13.68,0,0,0,25-Oct,0,,
HM7,G74,NEW,CV,6/20/2018,32.72,23.1,12.13,3.84,,,48.92,33,12.76,13.67,0,0,0,30-Oct,0,,
HM8,G83,NEW,CV,6/20/2018,42.71,28.15,11.34,7.29,,,50.32,31.84,10.97,13.61,0,0,0,1-Nov,0,,
HM5,Y48,NEW,CV,6/19/2018,30.93,20.67,12.58,3.12,,,43.83,28.33,11.57,13.59,0,0,,30-Oct,0,,
HM2,15,,CV,,,,,,,10/16/2018,48.41,31.72,13.43,13.53,0,0,1,27-Oct,0,,
HM1,W96,OLD,CV,6/19/2018,42.01,34.34,13.93,7.66,,10/15/2018,42.77,36.24,13.56,13.52,0,0,0,23-Oct,0,,
HM3,G23,NEW,CV,6/20/2018,41.16,20.67,15.69,3.68,,10/16/2018,45.11,28.26,11.39,13.51,0,0,0,25-Oct,0,,
,,,CV,,,,,,,10/16/2018,48.05,31.6,11.14,13.43,0,0,0,,,,
HM8,Y52,NEW,CV,6/19/2018,35.26,24,12.1,3.72,,,41.6,34.27,11.98,13.42,0,0,0,1-Nov,0,,
LM3,14,,CV,,,,,,,10/18/2018,46.27,31.55,11.98,13.41,0,0,0,27-Oct,0,,
LM5,G35,NEW,CV,6/20/2018,40.06,24.02,8.59,4.02,,10/17/2018,44.8,32.74,10.72,13.38,2,0,0,29-Oct,0,,
HP1,O10,NEW,CV,6/19/2018,27.99,23.95,10.99,2.81,,,46.19,39.01,12.7,13.37,0,0,1,,,,
LM6,G79,NEW,CV,6/20/2018,43.55,27.92,11.94,6.55,,10/18/2018,45.62,30.72,13.22,13.35,0,0,0,29-Oct,0,,
LP9,B42,NEW,CV,6/20/2018,44.78,33.56,13.81,8.05,,,44.34,32.35,12.63,13.34,0,0,0,31-Oct,0,,
HP8,O75,OLD,CV,6/12/2018,40.81,26.44,10.21,5.89,10/18/2018,10/18/2018,48.35,31.06,12.01,13.32,0,0,0,29-Oct,0,nps,
HM3,G20,NEW,CV,6/20/2018,52.81,29.45,12.14,8.64,,10/16/2018,52.12,30.09,10.31,13.3,0,0,0,25-Oct,0,,
LP9,B62,,CV,,,,,,,,41.99,35.79,11.75,13.3,0,0,0,31-Oct,0,,
HM7,G58,NEW,CV,6/20/2018,35.68,24.75,12.76,3.99,,,50.44,31.08,11.79,13.29,0,0,0,30-Oct,0,,
LP2,Y62,OLD,CV,6/13/2018,34.59,24.78,7.68,3.89,,,44.4,32.72,11.84,13.29,poly worm photo 3874-77,,1,25-Oct,0,,
HP6,G47,OLD,CV,6/13/2018,30.74,24.11,6.85,3.16,,,46.77,32.28,13.86,13.22,0,0,0,30-Oct,0,,
HM3,W24,OLD,CV,6/19/2018,40.53,36.13,14.63,9.28,,10/16/2018,39.58,35.52,15.63,13.2,0,0,1,25-Oct,0,,
HP6,G12,OLD,CV,6/13/2018,36.5,20.63,6.79,3.63,,,41.29,34.66,13.08,13.2,0,0,0,30-Oct,0,,
LP7,Y85,OLD,CV,6/13/2018,24.36,21.44,5.94,2.07,,,45.52,35.79,15.4,13.19,1,0,0,30-Oct,0,,
HP9,O39,OLD,CV,6/12/2018,39.42,28.64,9.12,5.14,,10/19/2018,46.06,33.63,11.36,13.12,0,0,0,30-Oct,0,,
HM9,Y19,NEW,CV,6/19/2018,22.65,19.37,10.46,1.47,,,44.74,31.88,13.54,13.11,0,0,0,,,,
LP1,O73,OLD,CV,6/12/2018,54.27,30.45,13.02,10.55,,15-Oct,47.65,34.3,10.93,13.08,,,,23-Oct,0,,
LM3,Y5,NEW,CV,6/19/2018,28.55,17.9,10.59,2.14,,10/18/2018,44.64,29.18,11.09,13.07,0,0,1,,,,
HM4,Y98,NEW,CV,6/19/2018,28.57,19.75,10.68,2.56,,,50.01,30.94,12.99,13,0,0,0,25-Oct,0,,
HM8,O20,NEW,CV,6/19/2018,47.19,27.81,12.76,7.22,,,43.28,31.67,13.17,13,1,0,0,1-Nov,0,,
HP8,O79,OLD,CV,6/12/2018,37.32,27.1,8.78,4.78,10/18/2018,10/18/2018,46.61,30.4,11.89,12.98,0,0,0,29-Oct,0,nps,sperm
HP6,G77,OLD,CV,6/13/2018,48.38,35.26,13.16,10.56,,,45.67,33.85,13.34,12.91,0,0,0,30-Oct,0,,
LM7,Y47,NEW,CV,6/19/2018,40.27,27.17,12.25,6.28,,10/19/2018,45.54,33.44,11.88,12.9,0,0,1,,,,
LP7,O94,OLD,CV,6/12/2018,28.93,24.32,8.73,3.54,,,45.84,35.04,13.36,12.85,0,0,1,,,,
HP9,Y47,OLD,CV,6/13/2018,42.06,25.95,10.33,6.36,,10/19/2018,43.8,31.3,13.82,12.83,0,0,0,30-Oct,0,,
LP5,G9,OLD,CV,6/13/2018,37.55,21.94,8.17,3.87,,,48.33,30.58,12.13,12.8,,,,27-Oct,0.5,,
HM6,O26,,CV,,,,,,,,44.5,33.67,12,12.73,1,1,0,,,,
HP5,W69,NA,IR,6/21/2018,45.44,29.69,18.87,10.35,,,45.16,24.4,18.43,12.73,0,0,0,29-Oct,0,,
HM2,13,,CV,,,,,,,10/16/2018,47.95,33.71,9.74,12.72,0,0,0,27-Oct,0,,
LM5,Y66,NEW,CV,6/19/2018,49.4,27.69,13.8,8.54,,10/17/2018,42.49,27.76,11.51,12.72,2,0,0,29-Oct,0,,
HP5,G67,OLD,CV,6/13/2018,45.3,29.85,9.13,8,,,50.06,28.32,10.44,12.7,0,0,0,29-Oct,0.5,,
HM6,O53,NEW,CV,6/19/2018,40.72,22.01,10.81,4.19,,,44.65,29.39,11.78,12.62,0,0,0,1-Nov,0,,
HP2,15,,CV,,,,,,,,43.04,36.47,11.17,12.59,0,0,0,,,,
LM3,O75,NEW,CV,6/19/2018,46.69,32.36,12.67,7.15,,10/18/2018,47.14,32.1,12.05,12.59,0,0,1,27-Oct,0,,
LM9,W76,OLD,CV,6/19/2018,36.29,26.2,16.66,6.99,,,38.6,30.48,14.12,12.5,0,0,1,1-Nov,0,,
HM3,O81,NEW,CV,6/19/2018,35.67,24.44,10.84,3.1,,10/16/2018,48.35,28.21,10.3,12.49,0,0,0,25-Oct,0,,
HP6,G39,OLD,CV,6/13/2018,35.46,24.88,8.42,4.1,,,44.8,34.76,13.66,12.48,1,0,0,30-Oct,0,,
LP2,O76,,CV,,,,,,,,44.71,27.5,10.18,12.43,,,,25-Oct,0,,
HM3,G71,NEW,CV,6/20/2018,29.61,21.67,9.66,2.7,,10/16/2018,42.2,31.31,11.17,12.39,0,0,0,25-Oct,0,,
LM5,Y2,NEW,CV,6/19/2018,37.79,28.03,13.15,5.88,,10/17/2018,43.25,31.32,11.72,12.37,0,0,0,29-Oct,0,,
HP6,B13,OLD,CV,6/13/2018,51.98,34.18,13.95,9.69,,,47.51,38.81,16.25,12.32,0,0,2,30-Oct,0,,
,,,,,,,,,,,41.3,29.9,15.9,12.31,0,0,1,,,,
HP5,G7,OLD,CV,6/13/2018,35,23.78,7.54,3.3,,,45.09,29.21,11.81,12.28,0,0,0,29-Oct,0,,
HP7,G43,OLD,CV,6/13/2018,36.46,26.08,10.26,4.86,10/18/2018,10/18/2018,45.83,31.51,12.71,12.28,0,0,0,30-Oct,0,nps,
LP8,13,,IR,,,,,,,,42.55,22.9,47,12.28,0,0,1,,,,
LP6,G50,OLD,CV,6/13/2018,51.96,26.46,10.78,9.33,,,45.82,31.29,11.59,12.27,0,0,0,30-Oct,0,,
HP5,G57,OLD,CV,6/13/2018,44.33,23.5,8.23,6.23,,,42.13,30.26,12.61,12.23,0,0,0,,,,
HM7,G27,NEW,CV,6/20/2018,29.23,23.99,12.46,2.79,,,47.87,31.94,13.19,12.22,0,0,0,30-Oct,0.5,,
HM6,G29,NEW,CV,6/20/2018,29.57,24.77,11.49,3.96,,,43.72,29.55,11.92,12.21,0,0,0,1-Nov,0,,
HP8,O48,OLD,CV,6/12/2018,35.53,28.45,9.75,7.42,Dead,10/18/2018,40.65,31.98,11.99,12.19,0,0,0,29-Oct,0,nps,sperm
LM2,O48,NEW,CV,6/19/2018,33.84,30.46,30.37,5.88,,10/16/2018,40.98,33.7,13.08,12.14,0,0,0,27-Oct,0,,
LM2,G21,NEW,CV,6/20/2018,50.6,32.14,16.35,9.31,,10/16/2018,42.4,31.01,13.08,12.14,0,0,0,,,,
HM7,O35,NEW,CV,6/19/2018,25.33,21.44,11.46,2.57,,,46.12,35.08,12.46,12.12,0,0,0,30-Oct,0,,
LM2,G88,NEW,CV,6/20/2018,32.3,26.95,9.96,3.1,,10/16/2018,40.29,30,11.3,12.08,0,0,0,27-Oct,0,,
HM5,G84,NEW,CV,6/20/2018,25.84,26.57,9.8,3.06,,,52.52,28.04,9.93,12.03,0,0,1,30-Oct,0,,
LP9,B17,NEW,CV,6/20/2018,49.94,22.05,12.04,5.33,,,51.44,31.49,10.31,12,0,0,0,31-Oct,0,,
HP7,O11,NA,IR,6/21/2018,49.59,33.22,18.45,12.11,10/18/2018,10/18/2018,49.32,24.43,16.98,11.99,0,0,1,30-Oct,,eggs/nps 3,
HM7,O27,NEW,CV,6/19/2018,36.28,24.41,11.35,3.86,,,39.69,32.51,13.68,11.91,0,0,0,30-Oct,0,,
HM8,O34,NEW,CV,6/19/2018,27.27,24.85,6.77,2.63,,,45.51,28.37,10.16,11.89,0,0,0,1-Nov,0,,
HM2,O3,NEW,CV,6/19/2018,37.63,26.4,11.7,4.99,,10/16/2018,48.41,32.93,9.04,11.88,0,0,0,27-Oct,0,,
LM8,14,,CV,,,,,,,,41.01,32.24,9.85,11.87,0,0,0,,,,
LP7,O37,OLD,CV,6/12/2018,54.36,29.69,8.84,9.58,,,43.28,36.24,15.07,11.86,0,0,0,30-Oct,0,,
HM9,G2,NEW,CV,6/20/2018,37.59,27.08,14.08,5.28,,,43.13,31.95,11.6,11.81,0,0,1,31-Oct,0,,
LM3,Y69,NEW,CV,6/19/2018,41.92,24.88,14.24,5.56,,10/18/2018,38.91,29.34,9.61,11.81,0,0,0,27-Oct,0,,
HM7,O1,NEW,CV,6/19/2018,31.45,27.11,11.94,4.73,,,45.47,29.76,13.39,11.8,0,0,0,,,,
LM1,G75,NEW,CV,6/20/2018,33.23,29.13,11.78,4.88,,10/15/2018,49.59,28.76,13.98,11.8,0,0,0,22-Oct,0,,
LP3,O4,OLD,CV,6/12/2018,41.32,21.84,8.89,4.06,,,42.98,29.93,11.88,11.8,0,0,0,25-Oct,0,,
LP6,G41,OLD,CV,6/13/2018,36.69,24.14,9.59,4.88,,,46.33,31.77,10.3,11.8,0,0,0,30-Oct,0,,
