Date_pre,Date_post,Site,Treatment,Color,Number,Species,Length_pre,Width_pre,Height_pre,Weight_pre,Notes_pre,POST_DEAD_ALIVE,Length_post,Width_post,Height_post,Weight_post,Genetics_Weight,Dry_Weight_plate,Dry_weight_final,Dry_weight_shell,RFTM_date,RFTM_score,peacrabs,Notes_post,LiveMM
5/30/17,,NW,HH,P,4,MM,17.6,17.6,9.9,1.93,,,20.68,18.76,11.24,2.91,G,,,,9/25-10/2,0,,,4
5/30/17,,NW,HH,P,5,CV,23,17.7,8,1.28,,,55.51,45.16,21.12,23.8,W,1.2815,1.65013,17.53948,,,,,4
5/30/17,,NW,HH,P,6,MM,16.35,16.35,10,1.81,,PREDATION,,,,,,,,,,,,,4
5/30/17,,NW,HH,P,7,CV,23.5,17.2,5.8,1.3,,,60.15,46.68,20.26,32.41,G,,,,9/25-10/2,1,,,4
5/28/17,,NW,HH,P,8,GD,98.3,40.6,29.4,58.27,,,100.02,39.94,31.42,61.68,G,,,,9/25-10/2,0,,,4
5/30/17,,NW,HH,P,9,MM,17.2,17.2,11.4,2.47,,PREDATION,,,,,,,,,,,,,4
5/30/17,,NW,HH,P,10,MM,20.7,20.7,11.95,3.62,,,24.61,22.21,13.45,5.26,G,,,,9/25-10/2,0,,,4
5/28/17,,NW,HH,P,11,GD,112.2,36.6,25.7,76.89,,,100.51,36.6,31.74,70.21,W,1.2733,2.4634,27.7865,,,,,4
5/30/17,,NW,HH,P,12,CV,18.1,17.7,6,0.85,,,63.6,45.19,19.45,38.83,W,1.2855,1.7188,28.9255,,,,,4
5/30/17,,NW,HH,P,13,CV,22.5,19.45,5.65,1.17,,,70.02,44.15,12.66,37.78,G,,,,9/25-10/2,0,,,4
5/30/17,,NW,HH,P,14,MM,17.55,17.55,10.4,2.38,,,24.85,21.78,14.24,5.57,W,1.2956,1.44725,,,,,,4
5/28/17,,NW,HH,P,15,GD,98.8,36.6,31.7,66.85,,,109.55,44.5,30.28,81.08,W,1.2924,2.4815,43.0411,,,,,4
5/28/17,,NW,HH,P,16,GD,119,48.9,36.7,118.96,,,118.38,49.53,39.87,120.72,G,,,,9/25-10/2,0,1,,4
5/30/17,,NW,HH,P,17,MM,18.2,18.2,10.4,2.2,,,23.48,20.78,13.01,4.45,W,1.2674,1.41096,2.60948,,,,,4
5/30/17,,NW,HH,P,18,CV,21,18.25,7.7,1.15,,MISSING,,,,,,,,,,,,,4
5/30/17,,NW,HH,R,1,CV,24.85,17.5,6.6,1.24,,,53.74,37.42,17.68,15.61,G,,,,9/25-10/2,1,,,2
5/30/17,,NW,HH,R,2,MM,18.6,17.25,9.25,1.75,,PREDATION,,,,,,,,,,,,,2
5/30/17,,NW,HH,R,3,CV,20.2,20,5.7,0.91,,,50.82,43.51,19.5,19.79,G,,,,9/25-10/2,0,,,2
5/28/17,,NW,HH,R,4,GD,112.6,44.6,37.5,107.62,,,114.69,44.85,39.54,109.29,G,,,,9/25-10/2,0,,,2
5/30/17,,NW,HH,R,5,MM,20.85,18,11,2.65,,,20.71,18.51,11.62,3.39,G,,,,9/25-10/2,0,,,2
5/28/17,,NW,HH,R,6,GD,115,68.6,55.1,104.69,,,110.4,45.38,34.96,98.4,W,1.2813,2.6653,47.3615,,,,,2
5/28/17,,NW,HH,R,7,CV,19.4,16.9,7,0.9,,,,,,,,,,,,,,,2
5/30/17,,NW,HH,R,8,CV,22.5,18.9,6.65,1.07,,DEAD,,,,,,,,,,,,,2
5/28/17,,NW,HH,R,9,GD,104.6,41.8,29.8,73.04,,,105.75,41.56,30.32,72.42,G,,,,9/25-10/2,0,,,2
5/30/17,,NW,HH,R,10,MM,21.9,20.1,10.85,2.7,,PREDATION,,,,,,,,,,,,,2
5/28/17,,NW,HH,R,11,GD,100.5,47.4,34.3,61.67,,,100.96,41.67,29.74,73.24,W,1.2845,1.3609,31.4093,,,,,2
5/30/17,,NW,HH,R,12,MM,19,17.2,9.7,1.85,,MISSING,,,,,,,,,,,,,2
5/30/17,,NW,HH,R,13,MM,20.6,18.2,10,2.27,,,24.38,21.7,13.52,5.08,W,1.2819,1.4277,3.174,,,,,2
5/30/17,,NW,HH,R,14,MM,19.5,17.45,10,2.15,,PREDATION,,,,,,,,,,,,,2
5/28/17,,NW,HH,R,15,GD,100.9,39.5,30.2,65.8,,,100.96,48.01,30.13,65.9,W,1.282,2.4976,26.9304,,,,,2
5/30/17,,NW,HH,R,16,CV,21.35,13.5,6.4,0.89,,,31.58,35.6,15.34,8.97,W,1.2814,1.4832,6.28821,,,,,2
5/30/17,,NW,HH,R,17,CV,24.85,18.3,6.4,1.18,,,42.27,37.84,23.37,15.73,W,1.279,1.44,12.277,,,,,2
5/28/17,,NW,HH,R,18,GD,110.4,44.6,35.9,102.31,,,112.99,44.1,34.41,103,G,,,,9/25-10/2,0,,,2
5/30/17,,NW,HH,Y,1,CV,21.5,17.8,6.6,1.14,,,58.59,42.92,19.11,25.27,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,HH,Y,2,MM,17.5,15.7,8.75,1.47,,PREDATION,,,,,,,,,,,,,1
5/28/17,,NW,HH,Y,3,GD,99.2,39.2,28.9,62.98,,,101.69,39.76,30.54,69.54,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,HH,Y,4,MM,22.15,19.5,11,2.78,,PREDATION,,,,,,,,,,,,,1
5/28/17,,NW,HH,Y,5,GD,99.5,37.4,28.5,61.82,,,100.02,38.3,30.43,67.35,W,1.2677,2.4341,27.928,,,,,1
5/30/17,,NW,HH,Y,6,CV,19.6,18.5,6.55,0.97,,,59.06,51.56,21.14,32.93,W,1.2762,1.73209,23.85199,,,,,1
5/28/17,,NW,HH,Y,7,GD,111.1,47.6,30.4,77.44,,,112.2,42.4,30.49,80.84,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,HH,Y,8,MM,21.5,18.7,11.85,2.77,,,22.4,20.43,13.07,4.22,W,1.1328,1.2554,2.557,,,,,1
5/28/17,,NW,HH,Y,9,GD,110.6,50.4,4.6,103.72,,,111.92,49.35,34.74,108.33,W,1.2839,2.6126,48.2407,,,,,1
5/30/17,,NW,HH,Y,10,CV,22.7,16,6.35,1.02,,,52.68,39.43,16.77,19.75,W,1.2648,1.5262,1.9872,,,,,1
5/30/17,,NW,HH,Y,11,MM,21.55,19.1,10.9,2.59,,PREDATION,,,,,,,,,,,,,1
5/30/17,,NW,HH,Y,12,CV,23,17.1,6.1,0.99,,,49.42,38.49,18.92,22.79,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,HH,Y,13,CV,20.6,17.2,7,1.02,,,61.39,55.24,22.93,26.05,W,1.2826,1.6948,17.3756,,,,,1
5/28/17,,NW,HH,Y,14,GD,98.6,40,28.2,58.12,,,100.11,39.17,28.68,60.92,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,HH,Y,15,CV,23.5,15.1,7.1,1.06,,,59.82,40.73,21.31,27.49,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,HH,Y,16,MM,21.9,18.4,11.85,3,,PREDATION,,,,,,,,,,,,,1
5/30/17,,NW,HH,Y,17,MM,22.6,20,11.75,2.83,,PREDATION,,,,,,,,,,,,,1
5/28/17,,NW,HH,Y,18,GD,109,46.8,34.3,91.09,,,110.58,43.64,37.68,96.29,W,1.2699,2.0037,41.7236,,,,,1
5/29/17,,NW,HL,B,1,CV,18.2,21.1,5.8,0.8,,,51.72,39.99,23.44,22.78,G,,,,9/27-10/4,1,,,0
5/29/17,,NW,HL,B,2,CV,22.2,18.25,7.1,1.16,,,66.58,43.9,23.04,33.29,W,1.2632,1.7511,20.8585,,,,,0
5/29/17,,NW,HL,B,3,CV,19.8,17.2,5.8,0.92,,,56.41,41.66,20.02,24.5,G,,,,9/27-10/4,1,,,0
5/29/17,,NW,HL,B,4,CV,22,19.25,5.8,0.99,,,52.93,35.49,20.28,17.42,W,1.2966,1.62158,11.00867,,,,,0
5/29/17,,NW,HL,B,5,CV,25.1,18.9,6.6,1.45,,,57.66,41.06,18.64,19.48,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,B,6,CV,20.5,16.45,5.7,0.89,,,61.88,33.69,24.17,18.63,W,1.2716,1.5875,12.92204,,,,,0
5/29/17,,NW,HL,B,7,CV,22.65,19.4,6.5,1.19,,,62.78,35.9,17.88,19.79,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,B,8,CV,21.55,22.1,6.1,1.35,,,68.76,36.53,18.47,23.44,W,1.2915,1.65793,16.48247,,,,,0
5/29/17,,NW,HL,B,9,CV,24,18.5,8,1.46,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,HL,B,10,CV,20.5,19.8,6.1,1.1,,,39.92,35.4,18.52,12.6,W,1.1405,1.4419,7.9308,,,,,0
5/29/17,,NW,HL,B,11,CV,24.2,18.1,5.8,1.45,,,65.99,32.67,19.69,21.48,G,,,,9/27-10/4,2,,,0
5/29/17,,NW,HL,B,12,CV,24.4,16.8,7.15,1.26,,,68.82,41.43,22.92,23.75,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,B,13,CV,25.7,18.45,6.8,1.52,,,56.41,36.97,18.4,21.01,W,1.2849,1.6205,16.9368,,,,,0
5/29/17,,NW,HL,B,14,CV,21.1,20,5.8,1,,,56.17,41.03,22.82,27.56,G,,,,9/27-10/4,1,,,0
5/29/17,,NW,HL,B,15,CV,20,21.5,5.75,0.95,,,46.28,36.8,18.98,17.02,W,1.1386,1.3776,12.2922,,,,,0
5/29/17,,NW,HL,B,16,CV,22.9,19,6,1.2,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,HL,B,17,CV,22.7,18.4,5.75,1.02,,,50.3,40.14,15.8,17.46,W,1.2808,1.69217,10.86615,,,,,0
5/29/17,,NW,HL,B,18,CV,25,20.08,6,1.63,,,71.11,41.94,25.15,33.37,G,,,,9/27-10/4,4,,,0
5/29/17,,NW,HL,P,1,CV,19.25,20,6.3,1.08,,,78.18,44.58,20.32,34.33,G,,,,9/25-10/2,1,,,0
5/29/17,,NW,HL,P,2,CV,22.75,17.7,6.75,1.07,,,49.46,35.03,20.93,20.79,W,1.2671,1.53134,16.50287,,,,,0
5/29/17,,NW,HL,P,3,CV,23.7,19,7.5,1.25,,,59.31,33.34,16.49,20.53,G,,,,9/25-10/2,0,,,0
5/29/17,,NW,HL,P,4,CV,20.6,19.1,5.5,1.12,,,44.33,43.58,19.38,20.06,W,1.2626,1.64828,12.90458,,,,,0
5/29/17,,NW,HL,P,5,CV,22,16.7,6.3,1.2,,,43.77,31.55,16.71,13.42,G,,,,9/25-10/2,1,,,0
5/29/17,,NW,HL,P,6,CV,22.3,18.45,6.6,1.21,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,HL,P,7,CV,23.1,19.85,6.35,1.22,,DEAD,,44.6,27.58,,,,,,,,,,0
5/29/17,,NW,HL,P,8,CV,22.7,20.06,5.65,1.34,,,60.51,41.39,18.14,25.66,G,,,,9/25-10/2,0,,,0
5/29/17,,NW,HL,P,9,CV,20.5,18.7,7,0.95,,,40.38,33.17,12.41,7.88,G,,,,9/25-10/2,3,1,,0
5/29/17,,NW,HL,P,10,CV,22.2,20,5.85,1.12,,,32.1,24.23,9.68,2.99,W,1.2824,1.3962,1.826,,,,,0
5/29/17,,NW,HL,P,11,CV,24.5,20.05,7,1.62,,,66.3,48.94,26.25,36.16,W,1.2834,1.9381,2.9847,,,,,0
5/29/17,,NW,HL,P,12,CV,21.8,20.6,6.5,1.32,,,42.36,37.83,17.76,20.54,G,,,,9/25-10/2,2,,,0
5/29/17,,NW,HL,P,13,CV,22.5,19.8,6.25,1.4,,,58.57,41.97,23.21,24.86,W,1.2862,1.6878,14.83,,,,,0
5/29/17,,NW,HL,P,14,CV,22.55,21,7.7,1.49,,,53.82,48.02,20.56,29.11,G,,,,9/25-10/2,2,1,,0
5/29/17,,NW,HL,P,15,CV,23.6,18,5.65,1.2,,,86.39,37.19,24,37.53,W,1.2824,1.8448,23.6354,,,,,0
5/29/17,,NW,HL,P,16,CV,27.5,18.95,6.8,1.66,,,77.38,39.74,23.32,29.2,G,,,,9/25-10/2,2,,,0
5/29/17,,NW,HL,P,17,CV,22.2,18.7,6,1.19,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,HL,P,18,CV,20,21.9,9.25,1.36,,,57.58,41.8,16.89,21.88,W,1.2638,1.5938,14.8295,,,,,0
5/29/17,,NW,HL,R,1,CV,21.6,16.8,6,0.92,,,48.95,50.77,25.13,27.54,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,R,2,CV,21,17.8,6.2,0.93,,,47.6,49.28,20.54,20.62,W,1.2816,1.6,13.6934,,,,,0
5/29/17,,NW,HL,R,3,CV,21.1,17.6,6.1,1.11,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,HL,R,4,CV,20.6,18.3,6.5,0.98,,,64.06,43.93,22.08,32.59,G,,,,9/27-10/4,0.5,,,0
5/29/17,,NW,HL,R,5,CV,21.8,16.9,6.9,1.08,,,43.65,41.08,17.79,21.1,W,1.1298,1.4267,12.724,,,,,0
5/29/17,,NW,HL,R,6,CV,25.25,18.2,5.6,1.37,,,59.46,42.25,18.68,30.69,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,R,7,CV,22.05,16.6,6.45,1.11,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,HL,R,8,CV,18,19.6,6.85,0.88,,,51.42,37.98,20.53,21.47,W,1.2604,1.5888,15.9348,,,,,0
5/29/17,,NW,HL,R,9,CV,21.85,16.75,6.05,1.21,,,55.32,42.91,22.2,27.66,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,R,10,CV,20.5,16.25,6.55,1.03,,,50.87,46.31,15.58,19.51,W,1.2775,1.63305,13.35615,,,,,0
5/29/17,,NW,HL,R,11,CV,21.7,16.6,6.75,1.05,,,51.18,38.97,18.03,21.51,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,R,12,CV,25.2,19.7,6.55,1.31,,DEAD,33.99,30.48,,,,,,,,,,,0
5/29/17,,NW,HL,R,13,CV,20.45,16.15,5.4,0.8,,,23.8,19.82,8.06,1.99,W,1.2794,1.3209,1.5401,,,,,0
5/29/17,,NW,HL,R,14,CV,20.2,17.7,7.2,1.01,,,73.85,41.02,20.69,37.7,G,,,,9/27-10/4,1,,,0
5/29/17,,NW,HL,R,15,CV,22,17.2,5.8,1.11,,,67.69,46.64,18.25,30.3,W,1.2896,1.83022,19.89299,,,,,0
5/29/17,,NW,HL,R,16,CV,21.15,18.7,6.95,1.17,,,49.98,44.82,19.58,20.13,G,,,,9/27-10/4,1,,,0
5/29/17,,NW,HL,R,17,CV,22.35,18.2,7,0.99,,,58.65,48.13,20.57,33.44,W,1.2483,1.7781,23.402,,,,,0
5/29/17,,NW,HL,R,18,CV,21.1,17.7,5.6,0.9,,,61.79,49.86,17.84,28.94,G,,,,9/27-10/4,1,1,,0
5/29/17,,NW,HL,Y,1,CV,20.5,19,5.5,1.04,,,43.56,57.74,19.22,27.84,G,,,,9/27-10/4,1,,,0
5/29/17,,NW,HL,Y,2,CV,25.2,19.5,6.6,1.56,,,45.68,42.12,21.93,21.93,W,1.2796,1.61239,13.0843,,,,,0
5/29/17,,NW,HL,Y,3,CV,24.65,16.8,6.4,1.25,,,49.64,34.43,17.19,14.88,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,Y,4,CV,23.3,18,6.6,1.15,,,60.26,32.93,15.14,12.8,W,1.2951,1.5501,8.0619,,,,,0
5/29/17,,NW,HL,Y,5,CV,26.45,18.2,6.5,1.6,,,73.02,42.84,21.49,28.75,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,Y,6,CV,22.1,16.4,6.5,1.43,,,68.36,43.69,27.14,36.22,W,1.2777,1.7429,21.89679,,,,,0
5/29/17,,NW,HL,Y,7,CV,20.25,18.5,7,1.26,,,58.68,51.85,22.28,31.48,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,Y,8,CV,22.5,20.5,7.2,1.43,,,44.92,47.72,15.68,18.47,W,1.2725,1.66381,12.35098,,,,,0
5/29/17,,NW,HL,Y,9,CV,23.05,19.9,6.2,1.01,,,59.97,45.31,23.36,34.72,G,,,,9/27-10/4,3,,,0
5/29/17,,NW,HL,Y,10,CV,25,17.35,6,1.23,,,57.32,40.36,16.96,24.18,W,1.2976,1.60582,18.20147,,,,,0
5/29/17,,NW,HL,Y,11,CV,23.5,19.1,6,1.28,,,47.34,40.35,21.99,20.7,G,,,,9/27-10/4,1,1,,0
5/29/17,,NW,HL,Y,12,CV,20.9,17.7,6.4,1.08,,,45.92,42.08,18.09,17.53,W,1.28986,1.4907,12.2148,,,,,0
5/29/17,,NW,HL,Y,13,CV,25,17.4,6.3,1.35,,DEAD,57,48.56,,,,,,,,,,,0
5/29/17,,NW,HL,Y,14,CV,22.65,19,7.2,1.36,,,61.92,41,25.58,28.38,G,,,,9/27-10/4,0,,,0
5/29/17,,NW,HL,Y,15,CV,20,18.7,6.5,1.09,,,56.46,39.01,15.89,21.58,W,1.2632,1.68926,14.34266,,,,,0
5/29/17,,NW,HL,Y,16,CV,22,19,7.3,1.16,,,61.68,39.95,25.88,34.05,W,1.2779,1.6415,24.413,,,,,0
5/29/17,,NW,HL,Y,17,CV,20.5,16.2,6.1,0.88,,,70.74,50.14,31.23,44.2,W,1.281,1.97721,27.36722,,,,,0
5/29/17,,NW,HL,Y,18,CV,21.5,16.7,6.05,0.94,,,38.83,46.35,18.26,16.05,G,,,,9/27-10/4,0,,,0
5/28/17,,NW,LH,B,1,GD,91.5,37.3,28.7,54.82,,,95.93,40.81,30.37,63.04,G,,,,9/26-10/2,0,,,1
5/29/17,,NW,LH,B,2,MM,21.9,19.05,11.06,2.79,,PREDATION,,,,,,,,,,,,,1
5/30/17,,NW,LH,B,6,CV,20,17.8,6.4,1.05,,,60.26,33.26,24.19,25.48,G,,,,9/26-10/2,2,,,1
5/29/17,,NW,LH,B,9,MM,16.35,14.25,8.8,0.33,,PREDATION,,,,,,,,,,,,,1
5/28/17,,NW,LH,B,10,GD,104.1,46.6,27.8,70.97,,,107.95,46.12,28.93,73.52,W,1.2688,2.61719,31.35472,,,,,1
5/30/17,,NW,LH,B,11,CV,19.2,22.2,6.35,1.1,,,44.16,41.34,21.35,20.01,W,1.2837,1.75786,13.98503,,,,,1
5/29/17,,NW,LH,B,12,MM,14.45,12.8,7.2,0.89,,,14.16,12.77,7.04,0.94,DEAD,,,,,,,,1
5/28/17,,NW,LH,B,13,GD,97.4,41.1,29.3,63.38,,,97.49,41.84,29.98,57.15,G,,,,9/25-10/2,0,,,1
5/30/17,,NW,LH,B,17,CV,18.25,20.04,6.15,1,,,58.04,38.04,20.13,20.07,G,,,,9/25-10/2,3,,,1
5/29/17,,NW,LH,P,2,MM,14.5,12.4,7.5,0.9,,,#dangler,,,,,,,,,,,,1
5/28/17,,NW,LH,P,3,GD,95.9,48.8,31.4,74.43,,,97.51,42.86,33.4,77.66,G,,,,9/29-10/5,0,,,1
5/30/17,,NW,LH,P,5,CV,18,16.1,5.2,0.81,,,54.71,41.07,18.48,24.02,G,,,,9/29-10/5,4,,,1
5/28/17,,NW,LH,P,8,GD,105.8,41.9,30.2,74.16,,,105.81,43.64,,,DEAD,,,,,,,,1
5/30/17,,NW,LH,P,9,CV,22,18.2,5.45,1.03,,,33.9,35.15,11.62,7.72,W,1.1486,1.3545,5.2744,,,,,1
5/29/17,,NW,LH,P,11,MM,20.09,17.6,10.07,2.39,,,23.07,20.11,13.02,4.14,G,,,,9/29-10/5,0,,,1
5/29/17,,NW,LH,P,13,MM,13.8,11.65,7,0.71,,,,,,,,,,,,,,,1
5/28/17,,NW,LH,P,16,GD,113.4,46.1,34,95.79,,,119.48,45.3,35.53,104.82,W,1.2642,2.706,40.8383,,,,,1
5/30/17,,NW,LH,P,18,CV,21,18.7,5.2,1.05,,,63.74,46.96,25.7,38.25,G,,,,9/29-10/5,3,,,1
5/30/17,,NW,LH,R,1,MM,19.5,16.5,5.3,0.93,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,3,CV,18.3,15.9,9.7,1.71,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,5,GD,107.6,42.4,33.2,85.66,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,8,CV,18.2,16.7,10,1.99,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,11,MM,20.9,16.8,5.6,1.03,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,12,GD,110.2,44.8,34.5,99.09,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,14,CV,21.4,19,11.3,2.84,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,15,GD,99.2,43,32.4,75,,MISSING,,,,,,,,,,,,,
5/30/17,,NW,LH,R,16,MM,23.8,15.4,7.9,1.49,,MISSING,,,,,,,,,,,,,
5/29/17,,NW,LH,Y,1,MM,19.5,16.6,10.05,2.12,,MISSING,,,,,,,,,,,,,
5/28/17,,NW,LH,Y,5,GD,98.9,37.6,33.8,75.67,,,104.42,39.51,35.2,71.83,,,,,9/26-10/2,0,,,0
5/28/17,,NW,LH,Y,9,GD,95.3,40.4,27.7,55.9,,,97.62,38.83,30.33,59.82,,1.2969,2.3744,26.63468,,,1,,0
5/30/17,,NW,LH,Y,10,CV,24,15.2,7,1.11,,,63.57,38.61,20.96,28.21,,,,,9/26-10/2,3,,,0
5/30/17,,NW,LH,Y,11,CV,22.2,14.2,5.85,0.8,,,53.11,46.04,22.53,25.79,W,1.2923,1.7031,17.50441,,,,,0
5/29/17,,NW,LH,Y,12,MM,12.25,10.01,6.25,0.53,,PREDATION,,,,,,,,,,,,,0
5/29/17,,NW,LH,Y,15,MM,23.05,19.85,11.8,3.45,,PREDATION,,,,,,,,,,,,,0
5/28/17,,NW,LH,Y,17,GD,101.6,47.4,31.8,96.26,,,104.12,45.18,32.65,84.11,G,,,,9/26-10/2,0,,,0
5/30/17,,NW,LH,Y,18,CV,24.5,17.45,7.3,1.38,,,73.2,45.08,82.38,34.74,G,,,,9/26-10/2,0,,,0
5/29/17,,NW,LL,B,2,CV,21.3,18.25,7.8,1.29,,,62.64,42.54,19.62,24.23,G,,,,9/29-10/5,0,,,0
5/29/17,,NW,LL,B,3,CV,22.4,17.2,6.85,1.17,,,49.29,54.14,19.28,24.1,G,,,,9/29-10/5,0,,,0
5/29/17,,NW,LL,B,6,CV,22.6,18.4,6.7,1.22,,,49.46,32.88,16.62,13.89,W,1.2888,1.4289,9.2998,,,,Broken,0
5/29/17,,NW,LL,B,8,CV,23.1,17.2,6.5,1.07,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,LL,B,10,CV,19.2,17.35,9.6,1.45,,MISSING,,,,,,,,,,,,,0
5/29/17,,NW,LL,B,12,CV,22.35,18,6.15,1.26,,DEAD,32.17,28.14,,,,,,,,,,,0
5/29/17,,NW,LL,B,13,CV,21.4,18,5.6,0.9,,,51.55,42.18,15.31,15.68,W,1.2796,1.5405,9.8006,,,,,0
5/29/17,,NW,LL,B,17,CV,21.1,18.7,5.3,1.01,,,62.48,46.67,23.31,35.39,G,,,,9/29-10/5,0,,,0
5/29/17,,NW,LL,B,18,CV,21.2,17.95,5.5,0.93,,,48.24,39.96,19.51,18.87,W,1.2864,1.5828,3.9076,,,,,0
5/29/17,,NW,LL,P,1,CV,22,16.5,6.2,0.89,,,45.41,36.12,16.72,16.73,W,1.2702,1.57665,11.07837,,,,,0
5/29/17,,NW,LL,P,5,CV,20.2,17.5,6.1,0.91,,,45.43,36.73,16.7,16.24,G,,,,9/27-10/4,4,,,0
5/29/17,,NW,LL,P,6,CV,24.25,18,5.85,1.19,,,43.64,40.8,15.57,16.85,W,1.2766,1.6858,11.75586,,,,,0
5/29/17,,NW,LL,P,7,CV,25.2,16,6.5,1.19,,,57.2,38.38,18.8,25.65,G,,,,9/27-10/4,0.5,,,0
5/29/17,,NW,LL,P,8,CV,20.5,17.65,6,0.89,,,68.87,47.77,20.5,34.73,W,1.2974,1.8004,23.1431,,,,,0
5/29/17,,NW,LL,P,11,CV,24,16.35,7.4,1.37,,,72.09,41.39,18.68,26.99,G,,,,9/27-10/4,0.5,,,0
5/29/17,,NW,LL,P,13,CV,21.7,17.1,5.5,1.02,,,61.44,39.52,21.49,26.08,W,1.2731,1.6783,16.3519,,,,,0
