,V1,UniqueID,Experiment,Year,Site,Treatment1_Density,Treatment2_Diversity,Color_Bucket,Number,Species,RFTM_score,peacrabs,Phase_1_DO,Phase_1_temp,Phase_2_DO,Phase_2_Temp,Overall_treatment
44,44,2017_OY_HIGH_MONO_Y7_CV,Field17,2017,OY,HIGH,MONO,Y,7,CV,1,1,,,,,
45,45,2017_OY_HIGH_MONO_Y11_CV,Field17,2017,OY,HIGH,MONO,Y,11,CV,3,0,,,,,
46,46,2017_OY_HIGH_MONO_Y13_CV,Field17,2017,OY,HIGH,MONO,Y,13,CV,1,0,,,,,
47,47,2017_OY_HIGH_MONO_Y15_CV,Field17,2017,OY,HIGH,MONO,Y,15,CV,0,0,,,,,
48,48,2017_OY_HIGH_MONO_Y17_CV,Field17,2017,OY,HIGH,MONO,Y,17,CV,0.5,0,,,,,
49,49,2017_OY_HIGH_POLY_B1_CV,Field17,2017,OY,HIGH,POLY,B,1,CV,0.5,0,,,,,
50,50,2017_OY_HIGH_POLY_B9_CV,Field17,2017,OY,HIGH,POLY,B,9,CV,3,0,,,,,
51,51,2017_OY_HIGH_POLY_P3_CV,Field17,2017,OY,HIGH,POLY,P,3,CV,0,0,,,,,
52,52,2017_OY_HIGH_POLY_P7_CV,Field17,2017,OY,HIGH,POLY,P,7,CV,1,0,,,,,
53,53,2017_OY_HIGH_POLY_P13_CV,Field17,2017,OY,HIGH,POLY,P,13,CV,1,0,,,,,
54,54,2017_OY_HIGH_POLY_R1_CV,Field17,2017,OY,HIGH,POLY,R,1,CV,0,0,,,,,
55,55,2017_OY_HIGH_POLY_R13_CV,Field17,2017,OY,HIGH,POLY,R,13,CV,0,1,,,,,
56,56,2017_OY_HIGH_POLY_Y7_CV,Field17,2017,OY,HIGH,POLY,Y,7,CV,1,0,,,,,
57,57,2017_OY_HIGH_POLY_Y16_CV,Field17,2017,OY,HIGH,POLY,Y,16,CV,2,0,,,,,
58,58,2017_OY_LOW_MONO_B1_CV,Field17,2017,OY,LOW,MONO,B,1,CV,2,0,,,,,
59,59,2017_OY_LOW_MONO_B11_CV,Field17,2017,OY,LOW,MONO,B,11,CV,0,0,,,,,
60,60,2017_OY_LOW_MONO_B16_CV,Field17,2017,OY,LOW,MONO,B,16,CV,3,0,,,,,
61,61,2017_OY_LOW_MONO_P9_CV,Field17,2017,OY,LOW,MONO,P,9,CV,1,0,,,,,
62,62,2017_OY_LOW_MONO_R4_CV,Field17,2017,OY,LOW,MONO,R,4,CV,0,0,,,,,
63,63,2017_OY_LOW_MONO_R10_CV,Field17,2017,OY,LOW,MONO,R,10,CV,1,0,,,,,
64,64,2017_OY_LOW_MONO_R12_CV,Field17,2017,OY,LOW,MONO,R,12,CV,0,0,,,,,
65,65,2017_OY_LOW_MONO_R18_CV,Field17,2017,OY,LOW,MONO,R,18,CV,3,0,,,,,
66,66,2017_OY_LOW_MONO_Y6_CV,Field17,2017,OY,LOW,MONO,Y,6,CV,2,0,,,,,
67,67,2017_OY_LOW_POLY_B2_CV,Field17,2017,OY,LOW,POLY,B,2,CV,0,0,,,,,
68,68,2017_OY_LOW_POLY_B15_CV,Field17,2017,OY,LOW,POLY,B,15,CV,0,0,,,,,
69,69,2017_OY_LOW_POLY_P3_CV,Field17,2017,OY,LOW,POLY,P,3,CV,0,0,,,,,
70,70,2017_OY_LOW_POLY_Y4_CV,Field17,2017,OY,LOW,POLY,Y,4,CV,0,1,,,,,
71,71,2017_OY_LOW_POLY_Y17_CV,Field17,2017,OY,LOW,POLY,Y,17,CV,1,0,,,,,
72,72,2017_SW_HIGH_MONO_B1_CV,Field17,2017,SW,HIGH,MONO,B,1,CV,0,0,,,,,
73,73,2017_SW_HIGH_MONO_B3_CV,Field17,2017,SW,HIGH,MONO,B,3,CV,0.5,0,,,,,
74,74,2017_SW_HIGH_MONO_B9_CV,Field17,2017,SW,HIGH,MONO,B,9,CV,0,0,,,,,
75,75,2017_SW_HIGH_MONO_B11_CV,Field17,2017,SW,HIGH,MONO,B,11,CV,1,0,,,,,
76,76,2017_SW_HIGH_MONO_B13_CV,Field17,2017,SW,HIGH,MONO,B,13,CV,0,0,,,,,
77,77,2017_SW_HIGH_MONO_P13_CV,Field17,2017,SW,HIGH,MONO,P,13,CV,3,0,,,,,
78,78,2017_SW_HIGH_MONO_P15_CV,Field17,2017,SW,HIGH,MONO,P,15,CV,0.5,0,,,,,
79,79,2017_SW_HIGH_MONO_R1_CV,Field17,2017,SW,HIGH,MONO,R,1,CV,1,0,,,,,
80,80,2017_SW_HIGH_MONO_R3_CV,Field17,2017,SW,HIGH,MONO,R,3,CV,2,0,,,,,
81,81,2017_SW_HIGH_MONO_R7_CV,Field17,2017,SW,HIGH,MONO,R,7,CV,3,0,,,,,
82,82,2017_SW_HIGH_MONO_R13_CV,Field17,2017,SW,HIGH,MONO,R,13,CV,3,0,,,,,
83,83,2017_SW_HIGH_MONO_R17_CV,Field17,2017,SW,HIGH,MONO,R,17,CV,1,0,,,,,
84,84,2017_SW_HIGH_MONO_Y3_CV,Field17,2017,SW,HIGH,MONO,Y,3,CV,2,0,,,,,
85,85,2017_SW_HIGH_POLY_B2_CV,Field17,2017,SW,HIGH,POLY,B,2,CV,1,0,,,,,
86,86,2017_SW_HIGH_POLY_B8_CV,Field17,2017,SW,HIGH,POLY,B,8,CV,0.5,0,,,,,
87,87,2017_SW_HIGH_POLY_R2_CV,Field17,2017,SW,HIGH,POLY,R,2,CV,0,0,,,,,
88,88,2017_SW_HIGH_POLY_R4_CV,Field17,2017,SW,HIGH,POLY,R,4,CV,2,0,,,,,
89,89,2017_SW_HIGH_POLY_R13_CV,Field17,2017,SW,HIGH,POLY,R,13,CV,0,0,,,,,
90,90,2017_SW_HIGH_POLY_Y1_CV,Field17,2017,SW,HIGH,POLY,Y,1,CV,1,0,,,,,
91,91,2017_SW_HIGH_POLY_Y13_CV,Field17,2017,SW,HIGH,POLY,Y,13,CV,2,0,,,,,
92,92,2017_SW_HIGH_POLY_Y14_CV,Field17,2017,SW,HIGH,POLY,Y,14,CV,2,0,,,,,
93,93,2017_SW_LOW_MONO_B1_CV,Field17,2017,SW,LOW,MONO,B,1,CV,0,0,,,,,
94,94,2017_SW_LOW_MONO_B4_CV,Field17,2017,SW,LOW,MONO,B,4,CV,0,0,,,,,
95,95,2017_SW_LOW_MONO_B10_CV,Field17,2017,SW,LOW,MONO,B,10,CV,3,0,,,,,
96,96,2017_SW_LOW_MONO_P1_CV,Field17,2017,SW,LOW,MONO,P,1,CV,1,0,,,,,
97,97,2017_SW_LOW_MONO_P4_CV,Field17,2017,SW,LOW,MONO,P,4,CV,0,0,,,,,
98,98,2017_SW_LOW_MONO_P7_CV,Field17,2017,SW,LOW,MONO,P,7,CV,1,0,,,,,
99,99,2017_SW_LOW_MONO_P11_CV,Field17,2017,SW,LOW,MONO,P,11,CV,1,0,,,,,
100,100,2017_SW_LOW_MONO_R4_CV,Field17,2017,SW,LOW,MONO,R,4,CV,0.5,0,,,,,
101,101,2017_SW_LOW_MONO_R11_CV,Field17,2017,SW,LOW,MONO,R,11,CV,0,1,,,,,
102,102,2017_SW_LOW_MONO_Y6_CV,Field17,2017,SW,LOW,MONO,Y,6,CV,0,0,,,,,
103,103,2017_SW_LOW_MONO_Y10_CV,Field17,2017,SW,LOW,MONO,Y,10,CV,2,0,,,,,
104,104,2017_SW_LOW_MONO_Y13_CV,Field17,2017,SW,LOW,MONO,Y,13,CV,2,0,,,,,
105,105,2017_SW_LOW_MONO_Y18_CV,Field17,2017,SW,LOW,MONO,Y,18,CV,2,0,,,,,
106,106,2017_SW_LOW_POLY_B2_CV,Field17,2017,SW,LOW,POLY,B,2,CV,0,0,,,,,
107,107,2017_SW_LOW_POLY_P5_CV,Field17,2017,SW,LOW,POLY,P,5,CV,2,1,,,,,
108,108,2017_SW_LOW_POLY_P10_CV,Field17,2017,SW,LOW,POLY,P,10,CV,2,0,,,,,
109,109,2017_SW_LOW_POLY_R7_CV,Field17,2017,SW,LOW,POLY,R,7,CV,0,0,,,,,
110,110,2017_SW_LOW_POLY_R18_CV,Field17,2017,SW,LOW,POLY,R,18,CV,0,0,,,,,
111,111,2017_SW_LOW_POLY_Y1_CV,Field17,2017,SW,LOW,POLY,Y,1,CV,0.5,0,,,,,
112,112,2017_SW_LOW_POLY_Y13_CV,Field17,2017,SW,LOW,POLY,Y,13,CV,4,0,,,,,
